elevation,latitude
60,58.50
30,57.99
20,57.45
60,56.95
60,56.56
170,56.39
30,56.10
55,55.02
55,54.26
130,53.31
55,52.93
55,52.61
260,52.56
35,52.46
45,52.17
140,51.83
150,51.77
110,51.67
260,51.65
170,51.21
145,51.19
120,51.13
125,51.05
140,50.93
260,50.92
120,50.76
85,50.23
575,49.89
235,49.67
475,48.91
240,48.70
355,48.69
380,47.78
765,46.67
790,46.16
460,44.66
1310,44.09
410,43.16
1020,42.93
1080,42.83
1455,42.56
1135,42.21
580,42.15
1205,41.77
1545,41.23
1165,40.76
