paper_id,age_class
gao2022,adult
gao2022,adult
moser2019,adult
sebastian-azcona2020,adult
camarero2022,adult
chen1998,adult
chen1998,adult
zhu2021,adult
zhu2021,adult
ren2019,adult
cuny2012,adult
oddi2022,adult
oddi2022,adult
oddi2022,adult
finzi2020,adult
finzi2020,adult
stridbeck2022,adult
stridbeck2022,adult
zani2020,adult
zani2020,juvenile
zani2020,juvenile
vitasse2009,juvenile
chen2000,NA
zohner2020,NA
zohnerpreprint,adult
zohnerpreprint,adult
zohnerpreprint,juvenile
soolananayakanahally2013,juvenile
soolananayakanahally2014,juvenile
soolananayakanahally2013,juvenile
zhang2021,adult
brand2022,adult
mckown2016,juvenile
mckown2016,juvenile
mckown2016,juvenile
desauvage2022,adult
keenan et al 2014,adult
drew & downes 2018,adult
kolar2016,adult
delpierre2017,adult
delpierre2017,adult
dow2022,adult
dow2022,adult
silvestro2023,adult
silvestro2023,adult
etzold2021,adult
etzold2021,adult
grossiord2022,juvenile
bruening2017,NA
michelot2012,adult
michelot2012,adult
buermann2018,adult
francon2020,adult
wheeler2016,adult
cufar2014,adult
,
eckes-shephard2020,adult
