"","no","not tested","yes"
"Abies alba",1,0,3
"Abies balsamia",1,0,1
"Acer",1,1,0
"Acer pennsylvanicum",0,1,0
"Acer pseudoplatanus",0,0,1
"Acer rubra",0,0,2
"Acer rubrum",0,1,0
"Acer saccharum",0,1,0
"Aesculus hippocastanum",0,2,0
"Betula",1,1,0
"Betula allegheniensis",0,1,0
"Betula lenta",0,1,0
"Betula pendula",0,5,0
"Betula pubescens",0,2,0
"Carya",0,1,0
"Corylus cornuta",0,2,0
"Fagus",1,1,0
"Fagus grandifolia",0,1,0
"Fagus sylvatica",4,6,6
"Fraxinus",1,1,0
"Fraxinus excelsior",1,0,2
"Fraxinus mandshurica",0,0,2
"Ilex aquifolium",0,0,1
"Juniperus przewalskii",0,1,0
"Juniperus przewlaskii",1,0,0
"Larix decidua",1,2,2
"Liriodendron",1,1,0
"Magnolia",0,1,0
"Nothofagus pomilio",1,0,0
"Nyssa",0,1,0
"Nyssa sylvatica",0,1,0
"Picea abies",1,3,2
"Picea glauca",0,1,0
"Pinus halepensis",1,0,0
"Pinus ponderosa",0,1,0
"Pinus radiata",0,0,1
"Pinus strobus",0,0,2
"Pinus sylvestris",3,2,3
"Populus",0,1,0
"Populus balsamifera",0,3,2
"Populus tremuloides",0,2,0
"Populus trichocarpa",1,0,2
"Prunus",1,0,0
"Quercus",1,1,0
"Quercus alba",0,1,0
"Quercus petraea",2,0,4
"Quercus petreaea",1,0,1
"Quercus pubesence",1,0,2
"Quercus robur",0,4,2
"Quercus rubra",0,1,2
"Quercus velutina",0,1,0
"Rhododendron ferrugineum",0,0,1
"Salix herbacea",0,0,1
"Sorbus aucuparia",0,1,0
"Spirea japonica",0,1,0
"Tsuga canadensis",0,0,2
