paper_id,who_entered,country,biome,species_num,species_list,study_scale,study_type,study_level,rep_number,growth_metric,gsl_metric,gs_start_metric,gs_start_satellite,gs_end_metric,gs_end_satellite [,gs_all_metrics_described,gs_metric_used,authorsthink_evidence_gsxgrowth,authorsthink_evidence_gsxgrowth_notsure,authorsthink_teststatistic,teststatistic_where,authorsthink_ALTinfo:,youthink_evidence_gsxgrowth,youthink_evidence_gsxgrowth_notsure,ifyouthink_no_why,ourdefinition_evidence_gslxgrowth ,ourdefinition_evidence_gslxgrowth_notsure,authorslooked_externalfactors,authorslooked_externalfactors_notsure,authorsfoundevidencefor_externalfactors,authorsfoundevidencefor_externalfactors_notsure,ifyes_whichexternal,authorslooked_endogenousfactors,authorslooked_endogenousfactors_notsure,authorsfoundevidencefor_endogenousfactors,authorsfoundevidencefor_endogenousfactors_notsure,ifyes_whichendogenous,double_entry,excellent_study,big_problems,missing_something_major,notes,notes_specific_columns,,
Finzi2020,AKE&JHRL,USA,Temperate deciduous forests,>4,"Acer rubra, Quercus rubra, Pinus strobus, Tsuga canadensis","100's of plots, flux towers, and warming experiment data at Harvard Forest ( long-term ecological research site), in four different locations collectively covering ~ 40 km2, ",synthesis,across years within sites,23,"NEP (net ecosystem production, calculated from flux towers)",not measured,Onset ecosystem productivity (first day daily NEP crosses 30% of maximum - from fluxnet data),NA,End ecosystem productivity (first day daily NEP goes below 30% of maximum - from fluxnet data),NA,yes,start metric only,yes,NA,yes,"Fig 13, pg 19",NA,yes,NA,NA,not tested but have data,NA,no,NA,NA,NA,NA,yes,NA,yes,NA,differences in relationship between SOS and spring NEP due to species composition of the site,,"Not for our purposes, although this was not their goal. They were interested in understanding the carbon budget and how it changed over time in Harvard Forest, so they did end up pulling together a lot of data relevant to this question. They did test for relationships between spring / autum GS and spring / autumn NEP, and both relationships suggest longer growing seasons lead to greater NEP. They also compiled tree ring records and assessed whether warmer months lead to greater ringwidth for two species.",They used fluxnet data to derive both growth and gs metrics,"I wish they had directly quantified the relationship between growing season length (as they defined from NEP) and GPP, they assumed it from time-GPP and time-GSL, as well as SOS spring NEP and EOS autumn NEP relationships… They also had some information on SOS and EOS from long-term phenological observations of 9 trees, and I think they could have done more with that if they also had growth rates (see page 10, figs. 9 and 11)",,,,
Finzi2020,AKE&JHRL,USA,Temperate deciduous forests,>4,"Acer rubra, Quercus rubra, Pinus strobus, Tsuga canadensis","100's of plots, flux towers, and warming experiment data at Harvard Forest ( long-term ecological research site), in four different locations collectively covering ~ 40 km2, ",synthesis,across years within sites,23,"NEP (net ecosystem production, calculated from flux towers)",not measured,Onset ecosystem productivity (first day daily NEP crosses 30% of maximum - from fluxnet data),NA,End ecosystem productivity (first day daily NEP goes below 30% of maximum - from fluxnet data),NA,yes,end metric only,yes (1 of 2 sites),NA,yes,"Fig 13, pg 19",NA,yes,NA,NA,not tested but have data,NA,no,NA,NA,NA,NA,yes,NA,yes,NA,differences in relationship between EOS and autumn NEP due to species composition of the site,,"Not for our purposes, although this was not their goal. They were interested in understanding the carbon budget and how it changed over time in Harvard Forest, so they did end up pulling together a lot of data relevant to this question. They did test for relationships between spring / autum GS and spring / autumn NEP, and both relationships suggest longer growing seasons lead to greater NEP. They also compiled tree ring records and assessed whether warmer months lead to greater ringwidth for two species.",They used fluxnet data to derive both growth and gs metrics,"I wish they had directly quantified the relationship between growing season length (as they defined from NEP) and GPP, they assumed it from time-GPP and time-GSL, as well as SOS spring NEP and EOS autumn NEP relationships… They also had some information on SOS and EOS from long-term phenological observations of 9 trees, and I think they could have done more with that if they also had growth rates (see page 10, figs. 9 and 11)",,,,
Richardson2020,AKE&JHRL,21 sites mostly in Europe and North America,temperate and boreal forests.,no species listed,NA,"21 fluxnet sites mostly located in Europe, Northern America (one in Japan, one in Russia)",permanent plot,"across years within sites, across sites",143 site-years (21 sites with 5-10 years per site),"NEP, GEP Jan-June (calcuated from flux towers)",not measured,SOS,greenup from MODIS 1km2 and JRC 36 km2,EOS,senescence from MODIS 1km2 and JRC 36 km2,yes,start metric only,"yes (only 1/2 sites, and only for one of the satellite derived metrics used)",NA,yes,"Table3, Figure 6",they also explored gs start and gs end vs. NEP / GEP relationships across these same sites considering only spatial (as opposed to within site temporal) differences - check Table 2 and Fig 5 for this.,yes  ,NA,NA,not tested but have data,NA,"yes - growth, yes - length of growing season",NA,"yes - growth, yes - length of growing season (fig 7, 3e results on page 13)",NA,spring temperature,yes,NA,yes,NA,"species composition and lagged productivity effects. Specifically, NEP of ENF, evergreen needle leaved forests was less sensitive to earlier SOS and later EOS than that of DBF, deciduous broadleaved forests. Additionally, there were carry over effects. These differences varied by metric, however.",,no,no,"They used a lot of different indices of growth and growing season length, but never pulled it all together to test GSL by whole summer ecosystem productivity","We struggled over how many rows to enter. They explored the relationship between phenology and growth across sites and site-years separately (table 2 vs 3). For each of these comparisons, they looked at several different metrics of SOS and EOS (satellite, fluxnet, modeled), and even within satellite / fluxnet measures of SOS / EOS, they tried (and reported) on results using different thresholds. Finally, they explored relationships between SOS and spring GEP, ER and NEP and EOS and autumn GEP, ER and NEP separately. In all, there were 22 different tests. We ultimately chose to report on the 3 different kinds GSL metrics (satellite vs. fluxnet vs modeled), additionally separating out tests on SOS and EOS (so 6 rows)",,,
Richardson2020,AKE&JHRL,21 sites mostly in Europe and North America,temperate and boreal forests.,no species listed,NA,"21 fluxnet sites mostly located in Europe, Northern America (one in Japan, one in Russia)",permanent plot,"across years within sites, across sites",143 site-years (21 sites with 5-10 years per site),"NEP, GEP Jan-June (calcuated from flux towers)",not measured,fluxnet derived (first date NEP or GEP exceeded a specific absolute or relative threshold),NA,fluxnet derived (first date NEP or GEP dips below a specific absolute or relative threshold),NA,yes,start metric only,yes (both sites),NA,yes,"Table3, Figure 6",they also explored gs start and gs end vs. NEP / GEP relationships across these same sites considering only spatial (as opposed to within site temporal) differences - check Table 2 and Fig 5 for this.,yes  ,NA,NA,not tested but have data,NA,"yes - growth, yes - length of growing season",NA,"yes - growth, yes - length of growing season (fig 7, 3e results on page 13)",NA,spring temperature,yes,NA,yes,NA,"species composition and lagged productivity effects. Specifically, NEP of ENF, evergreen needle leaved forests was less sensitive to earlier SOS and later EOS than that of DBF, deciduous broadleaved forests. Additionally, there were carry over effects. These differences varied by metric, however.",,no,They used fluxnet data to derive both growth and gs metrics,"They used a lot of different indices of growth and growing season length, but never pulled it all together to test GSL by whole summer ecosystem productivity","We struggled over how many rows to enter. They explored the relationship between phenology and growth across sites and site-years separately (table 2 vs 3). For each of these comparisons, they looked at several different metrics of SOS and EOS (satellite, fluxnet, modeled), and even within satellite / fluxnet measures of SOS / EOS, they tried (and reported) on results using different thresholds. Finally, they explored relationships between SOS and spring GEP, ER and NEP and EOS and autumn GEP, ER and NEP separately. In all, there were 22 different tests. We ultimately chose to report on the 3 different kinds GSL metrics (satellite vs. fluxnet vs modeled), additionally separating out tests on SOS and EOS (so 6 rows)",,,
Richardson2020,AKE&JHRL,21 sites mostly in Europe and North America,temperate and boreal forests.,no species listed,NA,"21 fluxnet sites mostly located in Europe, Northern America (one in Japan, one in Russia)",permanent plot,"across years within sites, across sites",143 site-years (21 sites with 5-10 years per site),"NEP, GEP Jan-June (calcuated from flux towers)","minimum temperature (specifically, GSI - a metric calculated from minimum temp, photoperiod, evaporative demand)",none,NA,none,NA,yes,"growing season index (GSI - from minimum temperature, photoperiod, and evaporative demand)",yes (only 1/2 sites),NA,yes,"Table3, Figure 6",NA,yes,NA,NA,not tested but have data,NA,"yes - growth, yes - length of growing season",NA,"yes - growth, yes - length of growing season (fig 7, 3e results on page 13)",NA,spring temperature,yes,NA,yes,NA,"species composition and lagged productivity effects. Specifically, NEP of ENF, evergreen needle leaved forests was less sensitive to earlier SOS and later EOS than that of DBF, deciduous broadleaved forests. Additionally, there were carry over effects. These differences varied by metric, however.",,no,no,"They used a lot of different indices of growth and growing season length, but never pulled it all together to test GSL by whole summer ecosystem productivity","We struggled over how many rows to enter. They explored the relationship between phenology and growth across sites and site-years separately (table 2 vs 3). For each of these comparisons, they looked at several different metrics of SOS and EOS (satellite, fluxnet, modeled), and even within satellite / fluxnet measures of SOS / EOS, they tried (and reported) on results using different thresholds. Finally, they explored relationships between SOS and spring GEP, ER and NEP and EOS and autumn GEP, ER and NEP separately. In all, there were 22 different tests. We ultimately chose to report on the 3 different kinds GSL metrics (satellite vs. fluxnet vs modeled), additionally separating out tests on SOS and EOS (so 6 rows)",,,
Richardson2020,AKE&JHRL,21 sites mostly in Europe and North America,temperate and boreal forests.,no species listed,NA,"21 fluxnet sites mostly located in Europe, Northern America (one in Japan, one in Russia)",permanent plot,"across years within sites, across sites",143 site-years (21 sites with 5-10 years per site),"NEP, GEP July-Dec (calcuated from flux towers)",not measured,satellite derived,greenup from MODIS 1km2 and JRC 36 km2,EOS,senescence from MODIS 1km2 and JRC 36 km2,yes,end metric only,"yes (only 1/2 sites, and only for one of the satellite derived metrics used)",NA,yes,"Table3, Figure 6",they also explored gs start and gs end vs. NEP / GEP relationships across these same sites considering only spatial (as opposed to within site temporal) differences - check Table 2 and Fig 5 for this.,yes,NA,NA,not tested but have data,NA,"yes - growth, yes - length of growing season",NA,no,NA,NA,yes,NA,yes,NA,"species composition and lagged productivity effects. Specifically, NEP of ENF, evergreen needle leaved forests was less sensitive to earlier SOS and later EOS than that of DBF, deciduous broadleaved forests. Additionally, there were carry over effects. These differences varied by metric, however.",,no,no,"They used a lot of different indices of growth and growing season length, but never pulled it all together to test GSL by whole summer ecosystem productivity","We struggled over how many rows to enter. They explored the relationship between phenology and growth across sites and site-years separately (table 2 vs 3). For each of these comparisons, they looked at several different metrics of SOS and EOS (satellite, fluxnet, modeled), and even within satellite / fluxnet measures of SOS / EOS, they tried (and reported) on results using different thresholds. Finally, they explored relationships between SOS and spring GEP, ER and NEP and EOS and autumn GEP, ER and NEP separately. In all, there were 22 different tests. We ultimately chose to report on the 3 different kinds GSL metrics (satellite vs. fluxnet vs modeled), additionally separating out tests on SOS and EOS (so 6 rows)",,,
Richardson2020,AKE&JHRL,21 sites mostly in Europe and North America,temperate and boreal forests.,no species listed,NA,"21 fluxnet sites mostly located in Europe, Northern America (one in Japan, one in Russia)",permanent plot,"across years within sites, across sites",143 site-years (21 sites with 5-10 years per site),"NEP, GEP July-Dec (calcuated from flux towers)",not measured,fluxnet derived (first date NEP or GEP exceeded a specific absolute or relative threshold),NA,fluxnet derived (first date NEP or GEP dips below a specific absolute or relative threshold),NA,yes,end metric only,no,NA,yes,"Table3, Figure 6",they also explored gs start and gs end vs. NEP / GEP relationships across these same sites considering only spatial (as opposed to within site temporal) differences - check Table 2 and Fig 5 for this.,no,NA,NA,not tested but have data,NA,"yes - growth, yes - length of growing season",NA,no,NA,NA,yes,NA,yes,NA,"species composition and lagged productivity effects. Specifically, NEP of ENF, evergreen needle leaved forests was less sensitive to earlier SOS and later EOS than that of DBF, deciduous broadleaved forests. Additionally, there were carry over effects. These differences varied by metric, however.",,no,They used fluxnet data to derive both growth and gs metrics,"They used a lot of different indices of growth and growing season length, but never pulled it all together to test GSL by whole summer ecosystem productivity","We struggled over how many rows to enter. They explored the relationship between phenology and growth across sites and site-years separately (table 2 vs 3). For each of these comparisons, they looked at several different metrics of SOS and EOS (satellite, fluxnet, modeled), and even within satellite / fluxnet measures of SOS / EOS, they tried (and reported) on results using different thresholds. Finally, they explored relationships between SOS and spring GEP, ER and NEP and EOS and autumn GEP, ER and NEP separately. In all, there were 22 different tests. We ultimately chose to report on the 3 different kinds GSL metrics (satellite vs. fluxnet vs modeled), additionally separating out tests on SOS and EOS (so 6 rows)",,,
Richardson2020,AKE&JHRL,21 sites mostly in Europe and North America,temperate and boreal forests.,no species listed,NA,"21 fluxnet sites mostly located in Europe, Northern America (one in Japan, one in Russia)",permanent plot,"across years within sites, across sites",143 site-years (21 sites with 5-10 years per site),"NEP, GEP July-Dec (calcuated from flux towers)","minimum temperature (specifically, GSI - a metric calculated from minimum temp, photoperiod, evaporative demand)",none,NA,none,NA,yes,"growing season index (GSI - from minimum temperature, photoperiod, and evaporative demand)",yes (only 1 / 2 sites),NA,yes,"Table3, Figure 6",NA,yes  ,NA,NA,not tested but have data,NA,"yes - growth, yes - length of growing season",NA,no,NA,NA,yes,NA,yes,NA,"species composition and lagged productivity effects. Specifically, NEP of ENF, evergreen needle leaved forests was less sensitive to earlier SOS and later EOS than that of DBF, deciduous broadleaved forests. Additionally, there were carry over effects. These differences varied by metric, however.",,no,no,"They used a lot of different indices of growth and growing season length, but never pulled it all together to test GSL by whole summer ecosystem productivity","We struggled over how many rows to enter. They explored the relationship between phenology and growth across sites and site-years separately (table 2 vs 3). For each of these comparisons, they looked at several different metrics of SOS and EOS (satellite, fluxnet, modeled), and even within satellite / fluxnet measures of SOS / EOS, they tried (and reported) on results using different thresholds. Finally, they explored relationships between SOS and spring GEP, ER and NEP and EOS and autumn GEP, ER and NEP separately. In all, there were 22 different tests. We ultimately chose to report on the 3 different kinds GSL metrics (satellite vs. fluxnet vs modeled), additionally separating out tests on SOS and EOS (so 6 rows)",,,
Stridbeck2022,AKE&JHRL,Sweden,Northern deciduous and coniferous forests (Sweden),6,"Pinus sylvestris (Scots pine), Norway spruce (Picea abies), Downy birch (Betula pubescens), European beech (Fagus sylvatica), European oak (Quercus robur), Betula pendula (Silver birch). First three species were used for tree ring analyses, all species for phenology assessment, but birch data merged.",All of Sweden (phenological observations); latitudinal transect in northern half of Sweden (tree ring chronologies),"tree ring (growth), phenology observations (for GSL)",merged individuals within sites across year,"For tree ring data: 4, 3, and 10 chronologies (each chronology with an unspecificied number of individual trees cored) for Norway spruce, Betula pubescens, and Pinus sylvestris (respectively). Phenology data: 13633 observations between 1873-1951 collected at 634 locations and 18555 observations collected between 2008-2021 at 6867 locations. Table A1 and A2 have replicates",annual core,plant vegetative phenology,budburst,NA,leaf coloring,NA,yes,start metric only,not mentioned,NA,NA,NA,NA,no,NA,"Several reasons - they didn't correlate their GS metrics (from phenology observations) with their growth metrics (from tree cores), and they standardized their growth metrics (from cores)",not tested but have data,NA,yes - growth,NA,yes -growth,NA,temperature,no,NA,NA,NA,NA,,no,They standardized the tree ring data (typical dendro) making it difficult to assess relationships between temperature and growth. They also never correlated their GS metrics with growth,"yes. they measured phenology and compared it to tree ring data, but because they 1) used different species across phenology and tree ring components; and 2) did not use raw ring widths (instead using detrended indices that were correlated with different month's temperatures, rather than growing season length)","Interestingly, they find that the shifts in autumn phenology are much more variable and in many cases different than expected (shifts to earlier senescence rather than later). While these impacts are not as large as effects on budburst, so that GSL based on phenology is increasing as expected, it does suggest some sort of constraint, external or endogenous, on GSL that presumably would also impact growth.",species_num & species_list: they looked at tree ring data for 3 species and phenology data for 6 species (the same three species + 3 others),,
Stridbeck2022,AKE&JHRL,Sweden,Northern deciduous and coniferous forests (Sweden),6,"Pinus sylvestris (Scots pine), Norway spruce (Picea abies), Downy birch (Betula pubescens), European beech (Fagus sylvatica), European oak (Quercus robur), Betula pendula (Silver birch). First three species were used for tree ring analyses, all species for phenology assessment, but birch data merged.",All of Sweden (phenological observations); latitudinal transect in northern half of Sweden (tree ring chronologies),"tree ring (growth), phenology observations (for GSL)",merged individuals within sites across year,"For tree ring data: 4, 3, and 10 chronologies (each chronology with an unspecificied number of individual trees cored) for Norway spruce, Betula pubescens, and Pinus sylvestris (respectively). Phenology data: 13633 observations between 1873-1951 collected at 634 locations and 18555 observations collected between 2008-2021 at 6867 locations. Table A1 and A2 have replicates",annual core,plant vegetative phenology,budburst,NA,leaf coloring,NA,yes,end metric only,not mentioned,NA,NA,NA,NA,no,NA,"Several reasons - they didn't correlate their GS metrics (from phenology observations) with their growth metrics (from tree cores), and they standardized their growth metrics (from cores)",not tested but have data,NA,yes - growth,NA,yes -growth,NA,temperature,no,NA,NA,NA,NA,,no,They standardized the tree ring data (typical dendro) making it difficult to assess relationships between temperature and growth. They also never correlated their GS metrics with growth,"yes. they measured phenology and compared it to tree ring data, but because they 1) used different species across phenology and tree ring components; and 2) did not use raw ring widths (instead using detrended indices that were correlated with different month's temperatures, rather than growing season length)","Interestingly, they find that the shifts in autumn phenology are much more variable and in many cases different than expected (shifts to earlier senescence rather than later). While these impacts are not as large as effects on budburst, so that GSL based on phenology is increasing as expected, it does suggest some sort of constraint, external or endogenous, on GSL that presumably would also impact growth.",species_num & species_list: they looked at tree ring data for 3 species and phenology data for 6 species (the same three species + 3 others),,
